author, quote, ka, sch, tags





"Yogi Berra","You can observe a lot just by watching.", q, [], Y
"Byron Pulsifer","Fate is in your hands and no one elses"
"Lao Tzu","Be the chief but never the lord."
"Buddha","Peace comes from within. Do not seek it without."
"Karen Clark","Life is change. Growth is optional. Choose wisely."
"Bob","It's easier to see the mistakes on someone else's paper."
"Confucius","Study the past, if you would divine the future."
"Ella Williams","Bite off more than you can chew, then chew it."
"Buddha","Work out your own salvation. Do not depend on others."
"Chinese proverb","Learning is a treasure that will follow its owner everywhere"
"Socrates","Be as you wish to seem."
"John Wooden","Never mistake activity for achievement."
"Haddon Robinson","What worries you masters you."
"Chinese proverb","Talk doesn't cook rice."
"Yoda","Do, or do not. There is no try."
"African proverb","When deeds speak, words are nothing."
"Sophocles","Wisdom is the supreme part of happiness."
"Ralph Emerson","The years teach much which the days never know."
"Johann Wolfgang von Goethe","Great talent finds happiness in execution."
"Michelangelo","Faith in oneself is the best and safest course."
"Leo Tolstoy","The two most powerful warriors are patience and time."
"Buddha","Those who are free of resentful thoughts surely find peace."
"Bob","A beautiful thing is never perfect."
"Liberace","Nobody will believe in you unless you believe in yourself."
"Seneca","No man (woman) was ever wise by chance."
"Eleanor Roosevelt","Do one thing every day that scares you."
"Carl Jung","Who looks outside, dreams; who looks inside, awakes."
"Buddha","What we think, we become."
"Bob","Everyone smiles in the same language."
"Napoleon Hill","No alibi will save you from accepting the responsibility."
"Walt Disney","If you can dream it, you can do it."
"Buddha","It is better to travel well than to arrive."
"Anais Nin","Life shrinks or expands in proportion to one's courage."
"Walt Disney","If you can dream it, you can do it."
"Buddha","It is better to travel well than to arrive."
"Anais Nin","Life shrinks or expands in proportion to one's courage."
"Jon Kabat-Zinn","You can't stop the waves, but you can learn to surf."
"Confucius","The more you know yourself, the more you forgive yourself."
"Usman Asif","Fear is a darkroom where negatives develop."
"Marcus Aurelius","Loss is nothing else but change,and change is Natures delight."
"","Today is the tomorrow you worried about yesterday."
"","A stumble may prevent a fall."
"Lao Tzu","He who talks more is sooner exhausted."
"Lao Tzu","He who is contented is rich."
"Plutarch","What we achieve inwardly will change outer reality."
"Ralph Waldo Emerson","Our strength grows out of our weaknesses."
"Mahatma Gandhi","We must become the change we want to see."
"Napoleon Hill","Happiness is found in doing, not merely possessing."
"","Put your future in good hands : your own."
"Friedrich von Schiller","Keep true to the dreams of thy youth."
"Abraham Lincoln","I destroy my enemies when I make them my friends."
"Voltaire","No snowflake in an avalanche ever feels responsible."
"Virgil","Fortune favours the brave."

169



"", "Great leaders inspire greatness in others."
"", "The future has many paths – choose wisely."
"", "A failure in planning is a plan for failure."
"", "The swiftest path to destruction is through vengeance."
"", "The path to evil may bring great power, but not loyalty."
"", "A great student is what the teacher hopes to be."
"", "Only through fire is a strong sword forged."
"", "Understanding is honoring the truth beneath the surface."
"", Balance is found in those who have faced their guilt
"", Great leaders inspire greatness in others.
"", Easy is the path to wisdom for those not blinded by ego.
"", It is a rough road that leads to the heights of greatness.
"", Truth enlightens the mind, but won’t always bring happiness to your heart.
"", The winding path to peace is always a worthy one, regardless of how many turns it takes.
"", You hold onto friends by keeping your heart a little softer than your head.
"", A plan is only as good as those who see it through.
"", The best confidence builder is experience.
"", Revenge is a confession of pain.
"", The future has many paths – choose wisely.
"", To seek something is to believe in its possibility.
"", Understanding is honoring the truth beneath the surface.
"", The young are often underestimated.
"", Disobedience is a demand for change.
"", Humility is the only defense against humiliation. 
"", The truth about yourself is always the hardest to accept.
"", When in doubt, go to the source.
"", The wise benefit from a second opinion.
"", Facing all that you fear will free you from yourself.
"", Madness can sometimes be the path to truth.
"", Who you were does not have to define who you are.
"Anthony Volodkin", "Be undeniably good. No marketing effort or social media buzzword can be a substitute for that."
"Wallace D. Wattles","Abandon everything you have outgrown."
"Deepak Chopra", "Success in life could be defined as the continued expansion of happiness and the progressive realization of worthy goals."
 "Joey Lee","If you have the vision, passion, and courage to challenge yourself, then life gets better with age."
 "", "Your lack of preparedness is not a cause for my panic"
"Napoleon Hill", "You are the master of your destiny. You can influence, direct, and control your own environment. You can make your life what you want it to be."
"Naval", "The leader doesn’t take charge of the tribe. The leader takes responsibility for the tribe."
"Art Williams", "Experience is the key to greatness"
"Courage to be Happy", "The goal of education is self-reliance "
"", "Life is all about balance. The more balanced you are, the more energy you have as your not always trying to get back to balance."
"Big Sean", "If you love yourself you will never be alone"
"", "Hurting people hurt people"
"Horace Mann", "Be ashamed to die until you have won some victory for humanity"
"Ambrose Redmoon", "Courage is not the absence of fear, but the judgment that something else is more important than fear"
"Bob", "The best way to deal with fear is to shine a light on it"
"ALUX", "If tetris taught us anything, it's that when you try to fit in, you disappear"
"ALUX","The more active you are in the game of life, the clearer your path becomes"

